b_bookkey,b_authorkey,b_genre,title
0,0,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']",To Kill a Mockingbird
1,1,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Classics']","Harry Potter and the Philosopherâ€™s Stone (Harry Potter, #1)"
2,2,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']",Pride and Prejudice
3,3,"['Classics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust']",The Diary of a Young Girl
4,4,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Politics', 'School', 'Literature']",Animal Farm
5,5,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']",The Little Prince
6,6,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics']",1984
7,7,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Romance', 'Novels']",The Great Gatsby
8,8,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age']",The Catcher in the Rye
9,9,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']",The Lord of the Rings
10,10,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II']",The Book Thief
11,11,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Gothic', 'Literature', 'Historical']",Jane Eyre
12,12,"['Fantasy', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade']","The Chronicles of Narnia (Chronicles of Narnia, #1-7)"
13,13,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']",Lord of the Flies
14,14,"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School']",Romeo and Juliet
15,15,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']","Harry Potter and the Deathly Hallows (Harry Potter, #7)"
16,16,"['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Literature']",The Kite Runner
17,17,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']","The Giver (The Giver, #1)"
18,18,"['Childrens', 'Fiction', 'Picture Books', 'Classics', 'Poetry', 'Young Adult', 'Fantasy']",The Giving Tree
19,19,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']",Charlotte's Web
