a_authorkey,a_authorname
0,Harper Lee
1,J.K. Rowling
2,Jane Austen
3,Anne Frank
4,George Orwell
5,Antoine de Saint-ExupÃ©ry
6,George Orwell
7,F. Scott Fitzgerald
8,J.D. Salinger
9,J.R.R. Tolkien
10,Markus Zusak
11,Charlotte BrontÃ«
12,C.S. Lewis
13,William Golding
14,William Shakespeare
15,J.K. Rowling
16,Khaled Hosseini
17,Lois Lowry
18,Shel Silverstein
19,E.B. White
20,Louisa May Alcott
21,Suzanne Collins
22,J.R.R. Tolkien
23,John Steinbeck
24,Ray Bradbury
25,Dr. Seuss
26,J.K. Rowling
27,Emily BrontÃ«
28,Lewis Carroll
29,Oscar Wilde
30,Elie Wiesel
31,Margaret Mitchell
32,Anonymous
33,J.K. Rowling
34,Douglas Adams
35,William Shakespeare
36,J.K. Rowling
37,Mark Twain
38,J.R.R. Tolkien
39,Victor Hugo
40,Paulo Coelho
41,Aldous Huxley
42,Fyodor Dostoevsky
43,Kathryn Stockett
44,Frances Hodgson Burnett
45,Arthur Golden
46,C.S. Lewis
47,Homer
48,Charles Dickens
49,Dr. Seuss
50,S.E. Hinton
51,Gabriel GarcÃ­a MÃ¡rquez
52,John Steinbeck
53,Khaled Hosseini
54,L.M. Montgomery
55,Shel Silverstein
56,Alexandre Dumas
57,Orson Scott Card
58,Maurice Sendak
59,Alice Walker
60,Charles Dickens
61,Mark Twain
62,Yann Martel
63,Margaret Atwood
64,Ken Kesey
65,Mary Wollstonecraft Shelley
66,Daniel Keyes
67,Dr. Seuss
68,Leo Tolstoy
69,Mitch Albom
70,A.A. Milne
71,J.R.R. Tolkien
72,Kurt Vonnegut Jr.
73,Ernest Hemingway
74,Joseph Heller
75,Nathaniel Hawthorne
76,William Shakespeare
77,Stephenie Meyer
78,Vladimir Nabokov
79,Franz Kafka
80,Audrey Niffenegger
81,Hermann Hesse
82,Albert Camus
83,Margaret Wise Brown
84,J.K. Rowling
85,Betty  Smith
86,Leo Tolstoy
87,Laura Ingalls Wilder
88,Anthony Burgess
89,Erich Maria Remarque
90,Stephen King
91,Miguel de Cervantes Saavedra
92,Harriet Beecher Stowe
93,Anonymous
94,Ayn Rand
